date,username,replies,retweets,favorites,hashtags,text
5/20/2020 3:30,TheDailyPoint1,0,0,0,#ItsChinasFault,Anyone that can research believes him. We are not all incompetent sheep like you liberals are. Maybe research how other countries feel. #ItsChinasFault
5/11/2020 15:10,joangant,0,0,0,#OBAMAGATE #TRUMP2020 #FREEDOM #NoMailInVoting #STOPTHECENSORSHIP #REBUILDAMERICAAGAIN #NOMANDATEVACCINES #STOPSEXTRAFFICKING #USAFIRST #ITSCHINASFAULT #WAREFARE,#OBAMAGATE #TRUMP2020 #FREEDOM #NoMailInVoting #STOPTHECENSORSHIP #REBUILDAMERICAAGAIN #NOMANDATEVACCINES #STOPSEXTRAFFICKING #USAFIRST #ITSCHINASFAULT #WAREFARE
5/4/2020 22:42,LDee_Calif,0,0,1,#ItsChinasFault,But It Won’t Work..... #ItsChinasFault https://twitter.com/realDonaldTrump/status/1257438733240094726 …
5/3/2020 16:28,GaryPNabhan,13,1,30,#ItsChinasFault,China is guilty as sin. China did it. It’s China’s fault. #ItsChinasFault
4/27/2020 22:16,mutalabala,0,1,1,#ITSChinasFault,"US death toll surpasses 55,000 - what a success - no wonder other countries are flocking to the US to learn how they can do as well. #ITSChinasFault"
4/23/2020 15:36,Fitzyleelee,1,0,0,#ItsChinasFault,Sweden was right not to lockdown. Herd immunity. #ItsChinasFault https://twitter.com/johnrobertsFox/status/1253344438027501571 …
4/21/2020 17:31,Trumpet_Sc,0,0,0,#ChinaLiedPeopleDied #ChinaMustExplain #ChinaVirus #WuhanVirus #ChineseCoronaVirus #WuhanChineseVirus #wuhanchinavirus #itsChinasfault,"We have 2 choices here. 1. It’s China’s fault this virus spread. 2 China is lying, plain and simple. #ChinaLiedPeopleDied #ChinaMustExplain #ChinaVirus #WuhanVirus #ChineseCoronaVirus #WuhanChineseVirus #wuhanchinavirus. #itsChinasfault https://twitter.com/JackPosobiec/status/1252587373336158208 …"
4/21/2020 14:37,Comandr_n_tweet,0,0,0,#WuhanVirus #itschinasfault #Chinaistoblamehttps,Politicians actually stepping up to China #WuhanVirus #itschinasfault #Chinaistoblamehttps://twitter.com/virginiafoxx/status/1252588662107312130 …
4/20/2020 14:56,CitizenCotto,0,0,1,#COVID19 #ItsChinasFault,"of all the angles to truthfully hold Trump accountable for his early neglect of #COVID19, Biden chooses the #ItsChinasFault angle. pic.twitter.com/P7Mgq4HcBT"
4/19/2020 4:31,TerryinSci,0,2,6,#itsChinasfault,Woohoo. Judge you are awesome and sooo right! #itsChinasfault
4/17/2020 13:40,RoseDru63,0,2,3,,US Gov confirms Chanel at OAN told the truth!ItsChinasFault!Hey I knew she told truth!That’s only news channel that tells truthAll the other news is bought byCHINA&They lieALLthe timeReporters read off a scripted board&most say same news word4word as theyR paid2read this trash2us
4/16/2020 5:14,iIWillGoLord,0,0,0,#ChinaVirus #ChinaliedPeopledied #ItsChinasFault #ChineseWuhanVirus #WHOliedPeopleDied #DefundWHO #Trump2020,Why Larry >> it’s a #ChinaVirus coming out of a lab in Wuhan China = #ChinaliedPeopledied #ItsChinasFault #ChineseWuhanVirus #WHOliedPeopleDied #DefundWHO #Trump2020
4/16/2020 0:36,TheGamingCube24,0,0,1,#ItsChinasfault #ChinaLiesPeopleDie #ChinaLiedAndPeopleDied #Chinasfaultpic,This won’t pass us China. You pissed off the wrong country. #ItsChinasfault #ChinaLiesPeopleDie #ChinaLiedAndPeopleDied #Chinasfaultpic.twitter.com/FdifgCoJYs
4/15/2020 10:58,CAPTTCANADA,0,0,0,#ItsChinasfault,#ItsChinasfault
4/15/2020 3:09,HarpoonWinter,0,0,10,#ItsChinasFault,#ItsChinasFault
